value,value_classification,timestamp,time_until_update
77,Extreme Greed,1730937600,11535
70,Greed,1730851200,
70,Greed,1730764800,
70,Greed,1730678400,
74,Greed,1730592000,
72,Greed,1730505600,
75,Greed,1730419200,
77,Extreme Greed,1730332800,
77,Extreme Greed,1730246400,
72,Greed,1730160000,
72,Greed,1730073600,
74,Greed,1729987200,
72,Greed,1729814400,
69,Greed,1729728000,
71,Greed,1729641600,
70,Greed,1729555200,
72,Greed,1729468800,
73,Greed,1729382400,
72,Greed,1729296000,
73,Greed,1729209600,
71,Greed,1729123200,
73,Greed,1729036800,
65,Greed,1728950400,
48,Neutral,1728864000,
50,Neutral,1728777600,
49,Neutral,1728691200,
32,Fear,1728604800,
39,Fear,1728518400,
49,Neutral,1728432000,
49,Neutral,1728345600,
50,Neutral,1728259200,
50,Neutral,1728172800,
49,Neutral,1728086400,
41,Fear,1728000000,
37,Fear,1727913600,
42,Fear,1727827200,
50,Neutral,1727740800,
61,Greed,1727654400,
63,Greed,1727568000,
64,Greed,1727481600,
61,Greed,1727395200,
50,Neutral,1727308800,
59,Greed,1727222400,
54,Neutral,1727136000,
50,Neutral,1727049600,
52,Neutral,1726963200,
54,Neutral,1726876800,
54,Neutral,1726790400,
49,Neutral,1726704000,
45,Fear,1726617600,
33,Fear,1726531200,
39,Fear,1726444800,
51,Neutral,1726358400,
50,Neutral,1726272000,
32,Fear,1726185600,
31,Fear,1726099200,
37,Fear,1726012800,
33,Fear,1725926400,
26,Fear,1725840000,
29,Fear,1725753600,
23,Extreme Fear,1725667200,
22,Extreme Fear,1725580800,
29,Fear,1725494400,
27,Fear,1725408000,
26,Fear,1725321600,
26,Fear,1725235200,
26,Fear,1725148800,
29,Fear,1725062400,
34,Fear,1724976000,
29,Fear,1724889600,
30,Fear,1724803200,
48,Neutral,1724716800,
55,Greed,1724630400,
54,Neutral,1724544000,
56,Greed,1724457600,
34,Fear,1724371200,
39,Fear,1724284800,
26,Fear,1724198400,
30,Fear,1724112000,
28,Fear,1724025600,
31,Fear,1723939200,
25,Extreme Fear,1723852800,
27,Fear,1723766400,
29,Fear,1723680000,
30,Fear,1723593600,
31,Fear,1723507200,
25,Extreme Fear,1723420800,
39,Fear,1723334400,
